gene_id,gene_name,gene_type,Pat1,Pat2,Pat3,Pat4,Pat5,Pat6,Pat7,Pat8,Pat9,Pat10
ENSG00000004866,ST7,protein_coding,1225,554,509,43,461,204,1156,677,391,453
ENSG00000004897,CDC27,protein_coding,1990,2184,1202,1460,2823,2087,3919,4427,1255,2160
ENSG00000004939,SLC4A1,protein_coding,13577,235,779,8,347,183,23874,21376,522,11539
ENSG00000004948,CALCR,protein_coding,2,0,1,0,0,0,0,0,0,1
ENSG00000004961,HCCS,protein_coding,386,703,275,281,519,339,383,673,161,215
ENSG00000004975,DVL2,protein_coding,1021,863,1170,1160,1408,1271,1762,797,620,1303
ENSG00000005001,PRSS22,protein_coding,1,0,1,0,1,1,12,1,1,2
ENSG00000005007,UPF1,protein_coding,3573,5355,2455,2861,3112,2899,3690,6111,4485,3185
ENSG00000005020,SKAP2,protein_coding,2792,2495,2477,3389,87,3748,1506,1620,1653,2961
ENSG00000005022,SLC25A5,protein_coding,3959,10218,4285,4951,5332,7080,4157,5020,1926,2643
ENSG00000005059,MCUB,protein_coding,619,246,227,289,1581,486,754,893,267,270
ENSG00000005073,HOXA11,protein_coding,3,1052,0,101,0,0,6,2,3,1
ENSG00000005075,POLR2J,protein_coding,634,747,461,560,363,391,373,305,206,314
ENSG00000005100,DHX33,protein_coding,896,1343,962,1594,1614,1970,1756,1111,1115,1121
ENSG00000005102,MEOX1,protein_coding,5,5,2,3,0,28,19,11,5,5
ENSG00000005108,THSD7A,protein_coding,6,33,15,1,251,3124,451,82,119,357
ENSG00000005156,LIG3,protein_coding,1123,2065,1409,2374,3400,2233,2425,1796,1666,1577
ENSG00000005175,RPAP3,protein_coding,983,1154,605,1360,1174,995,1115,1527,606,796
ENSG00000005187,ACSM3,protein_coding,371,115,482,3539,10450,14918,1759,5811,299,1479
ENSG00000005189,REXO5,protein_coding,1195,654,460,940,674,936,957,1509,370,805
ENSG00000005194,CIAPIN1,protein_coding,1290,1425,789,1071,1276,1144,1288,1434,463,761
ENSG00000005206,SPPL2B,protein_coding,8046,3303,1945,3256,4830,3479,4920,1937,3076,4730
ENSG00000005238,FAM214B,protein_coding,1371,1325,1979,727,2184,1089,1884,2109,443,1732
ENSG00000005243,COPZ2,protein_coding,42,235,2,8,14,8,53,31,13,162
ENSG00000005249,PRKAR2B,protein_coding,1999,5378,146,1118,265,86,2816,4077,528,484
ENSG00000005302,MSL3,protein_coding,2285,2258,831,2408,2460,3140,2866,3226,1538,2420
ENSG00000005339,CREBBP,protein_coding,6129,8541,7683,5893,8239,9177,10268,9996,8595,9038
ENSG00000005379,TSPOAP1,protein_coding,7174,3090,4052,3857,4466,3823,4631,4162,1595,32495
ENSG00000005381,MPO,protein_coding,146184,138,399148,14958,944526,445358,6694,204374,1189,136821
ENSG00000005421,PON1,protein_coding,6,4,1,4,0,2,16,6,3,1
ENSG00000005436,GCFC2,protein_coding,817,575,394,616,595,563,851,1086,364,382
ENSG00000005448,WDR54,protein_coding,358,427,312,451,318,233,502,214,110,319
ENSG00000005469,CROT,protein_coding,280,275,59,326,154,246,524,236,98,205
ENSG00000005471,ABCB4,protein_coding,19,127,17,14,7,32,64,255,36,48
ENSG00000005483,KMT2E,protein_coding,5209,5057,3916,5609,9129,6018,7751,5420,7254,6025
ENSG00000005486,RHBDD2,protein_coding,1002,1161,601,714,1364,832,978,656,615,854
ENSG00000005513,SOX8,protein_coding,24,3,7,3,15,23,19,9,4,189
ENSG00000005700,IBTK,protein_coding,1682,3748,1507,2406,3210,2984,2350,3279,1279,1677
ENSG00000005801,ZNF195,protein_coding,2354,1993,1743,2365,2607,2923,2650,2114,4249,2342
ENSG00000005810,MYCBP2,protein_coding,7887,12472,2897,9826,10461,6478,11526,9210,13831,5857
ENSG00000005812,FBXL3,protein_coding,888,1228,691,1085,1930,1565,1171,1557,1509,1095
ENSG00000005844,ITGAL,protein_coding,11988,5591,3134,8211,9678,3581,7297,6582,3839,4911
ENSG00000005882,PDK2,protein_coding,468,604,713,649,900,667,771,604,420,315
ENSG00000005884,ITGA3,protein_coding,72,98,521,17,617,115,169,133,49,57
ENSG00000005889,ZFX,protein_coding,1696,1985,1999,3430,3396,3325,2368,2277,2132,2578
ENSG00000005893,LAMP2,protein_coding,6853,7192,4177,7646,14013,6417,5661,7624,3113,7294
ENSG00000005961,ITGA2B,protein_coding,1768,221,752,2065,1208,157,9991,5157,901,241
ENSG00000005981,ASB4,protein_coding,0,0,1,0,1,0,4,0,0,0
ENSG00000006007,GDE1,protein_coding,1815,2200,1089,1566,2208,1873,1582,2100,629,1125
ENSG00000006015,REX1BD,protein_coding,1320,1487,512,779,894,919,1135,814,792,776
ENSG00000006016,CRLF1,protein_coding,26,41,14,14,16,52,26,27,35,25
ENSG00000006025,OSBPL7,protein_coding,1073,1738,940,1646,1710,1373,1892,1099,1684,1386
ENSG00000006042,TMEM98,protein_coding,132,2,0,0,2,16,731,179,4,14
ENSG00000006047,YBX2,protein_coding,146,0,26,3,1,11,57,122,3,80
ENSG00000006059,KRT33A,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,protein_coding,618,646,524,796,510,991,1179,976,1191,860
ENSG00000006071,ABCC8,protein_coding,1,20,5,1,18,2,8,4,0,3
ENSG00000006116,CACNG3,protein_coding,0,0,0,0,0,0,0,2,1,0
ENSG00000006118,TMEM132A,protein_coding,9,53,2,5,0,10,15,39,18,12
ENSG00000006125,AP2B1,protein_coding,6006,8358,4507,10601,15396,8890,12974,11711,5972,6080
ENSG00000006128,TAC1,protein_coding,0,1,1,0,0,0,0,1,0,0
ENSG00000006194,ZNF263,protein_coding,1502,861,991,839,1001,1177,1329,1251,806,852
ENSG00000006210,CX3CL1,protein_coding,0,0,0,1,1,0,3,12,0,7
ENSG00000006282,SPATA20,protein_coding,736,3176,984,1481,592,2059,996,1114,324,1474
ENSG00000006283,CACNA1G,protein_coding,0,5,2,2,5,1,0,5,1,9
ENSG00000006327,TNFRSF12A,protein_coding,60,31,30,0,122,29,17,124,48,76
ENSG00000006377,DLX6,protein_coding,0,1,2,1,1,1,4,1,0,1
ENSG00000006432,MAP3K9,protein_coding,42,148,101,78,19,75,585,265,69,65
ENSG00000006451,RALA,protein_coding,744,1140,1194,1538,3305,1488,1184,658,1417,1061
ENSG00000006453,BAIAP2L1,protein_coding,118,113,177,34,111,115,162,85,206,159
ENSG00000006459,KDM7A,protein_coding,1072,1262,303,488,1680,742,1722,1879,530,2038
ENSG00000006468,ETV1,protein_coding,21,30,1,0,0,1,23,17,2,6
ENSG00000006530,AGK,protein_coding,1798,1147,762,1545,1522,1360,1762,1113,749,1256
ENSG00000006534,ALDH3B1,protein_coding,4056,6194,3730,1959,2345,1923,1510,1889,1612,2807
ENSG00000006555,TTC22,protein_coding,262,27,25,39,19,55,546,165,261,242
ENSG00000006576,PHTF2,protein_coding,807,1666,986,1489,1361,1258,1373,1404,1220,1026
ENSG00000006606,CCL26,protein_coding,1,0,0,1,2,2,0,0,0,0
ENSG00000006607,FARP2,protein_coding,497,1232,343,852,585,749,1339,1689,1559,1136
ENSG00000006611,USH1C,protein_coding,0,0,3,0,0,1,0,3,0,0
ENSG00000006625,GGCT,protein_coding,313,506,290,418,168,295,241,159,77,167
ENSG00000006634,DBF4,protein_coding,958,647,394,480,760,724,717,841,345,532
ENSG00000006638,TBXA2R,protein_coding,140,43,1292,321,233,642,137,98,1177,175
ENSG00000006652,IFRD1,protein_coding,1182,707,418,598,561,493,394,686,257,812
ENSG00000006659,LGALS14,protein_coding,0,0,0,5,0,1,0,1,0,1
ENSG00000006695,COX10,protein_coding,342,832,978,610,780,634,630,489,471,456
ENSG00000006704,GTF2IRD1,protein_coding,14,917,530,17,53,46,103,24,9,72
ENSG00000006712,PAF1,protein_coding,1293,1922,1006,985,1227,1227,1239,1287,1077,826
ENSG00000006715,VPS41,protein_coding,1923,3145,947,2465,2318,2217,2860,1902,1696,1796
ENSG00000006740,ARHGAP44,protein_coding,19,4098,14,33,26,33,348,20,73,69
ENSG00000006744,ELAC2,protein_coding,2313,3922,2082,3005,3519,2833,3023,1911,1328,1651
ENSG00000006747,SCIN,protein_coding,7,31,4,0,0,2,15,21,2,7
ENSG00000006756,ARSD,protein_coding,1029,2773,3388,3704,3915,3419,1285,935,226,3758
ENSG00000006757,PNPLA4,protein_coding,286,227,293,438,335,348,180,260,54,236
ENSG00000006788,MYH13,protein_coding,0,7,1,0,1,8,2,0,2,1
ENSG00000006831,ADIPOR2,protein_coding,2588,3756,1528,1824,2892,2225,4083,2526,2258,2655
ENSG00000006837,CDKL3,protein_coding,15,21,38,22,25,40,32,38,10,36
ENSG00000007001,UPP2,protein_coding,20,6,8,7,8,11,2,108,0,5
ENSG00000007038,PRSS21,protein_coding,73,1115,5431,3021,109,69,54,974,1,1339
ENSG00000007047,MARK4,protein_coding,1126,1343,1799,971,1658,1343,1316,1484,2213,1362
ENSG00000007062,PROM1,protein_coding,14403,1,1813,966,3,241,8280,2413,6415,4381
ENSG00000007080,CCDC124,protein_coding,937,1013,495,705,633,488,561,1022,449,340
ENSG00000007129,CEACAM21,protein_coding,340,72,190,98,74,124,263,271,353,203
ENSG00000007168,PAFAH1B1,protein_coding,2419,5482,3937,4751,8193,6431,6032,3583,3835,5299
ENSG00000007171,NOS2,protein_coding,4,4,1,2,1,7,7,4,2,0
ENSG00000007174,DNAH9,protein_coding,12,4,14,16,13,12,23,12,10,17
ENSG00000007202,KIAA0100,protein_coding,3438,12947,3045,12083,16176,11387,9721,7331,6284,7831
ENSG00000007216,SLC13A2,protein_coding,1,1,0,0,0,0,1,0,0,0
ENSG00000007237,GAS7,protein_coding,651,6773,7518,3457,6076,8212,366,704,9765,3022
ENSG00000007255,TRAPPC6A,protein_coding,498,650,573,657,503,582,356,348,321,514
ENSG00000007264,MATK,protein_coding,1321,1430,896,669,1055,945,1624,976,985,784
ENSG00000007306,CEACAM7,protein_coding,0,0,0,0,0,0,0,1,1,2
ENSG00000007312,CD79B,protein_coding,628,349,763,193,241,259,236,563,236,159
ENSG00000007314,SCN4A,protein_coding,490,48,110,31,6,17,91,69,31,41
ENSG00000007341,ST7L,protein_coding,710,811,662,636,738,835,709,867,637,682
ENSG00000007350,TKTL1,protein_coding,3,140,51,15,4,77,27,73,122,17
ENSG00000007372,PAX6,protein_coding,9,4,9,19,9,11,12,12,19,7
ENSG00000007376,RPUSD1,protein_coding,1363,961,944,593,760,966,648,828,600,772
ENSG00000007384,RHBDF1,protein_coding,3566,183,35,101,491,13,467,105,634,1365
ENSG00000007392,LUC7L,protein_coding,3331,2637,2404,2683,3206,3636,4317,2623,2403,2575
ENSG00000007402,CACNA2D2,protein_coding,84,56,5789,37,74,3271,583,195,142,302
ENSG00000007516,BAIAP3,protein_coding,87,399,2863,38,621,1959,84,157,1269,560
ENSG00000007520,TSR3,protein_coding,571,480,391,422,535,441,359,505,216,261
ENSG00000007541,PIGQ,protein_coding,2670,930,1288,708,1548,1522,2017,2088,487,1809
ENSG00000007545,CRAMP1,protein_coding,1391,935,1222,905,1073,1574,1373,1222,1512,1393
ENSG00000007866,TEAD3,protein_coding,138,37,27,25,8,11,24,67,50,28
ENSG00000007908,SELE,protein_coding,2,1,0,2,1,83,27,215,4,9
ENSG00000007923,DNAJC11,protein_coding,1352,1529,1402,1272,1380,1305,1623,1829,1121,1040
ENSG00000007933,FMO3,protein_coding,95,6,3,0,1,35,128,216,1,72
ENSG00000007944,MYLIP,protein_coding,1196,1429,1113,1003,955,1843,1026,2571,1442,1075
ENSG00000007952,NOX1,protein_coding,10,7,12,9,12,14,10,29,6,6
ENSG00000007968,E2F2,protein_coding,1340,1064,699,387,537,290,1575,2075,386,1659
ENSG00000008018,PSMB1,protein_coding,2965,3542,1122,2902,3080,2403,2074,3853,1035,1614
ENSG00000008056,SYN1,protein_coding,7,55,220,11,147,30,134,38,16,90
ENSG00000008083,JARID2,protein_coding,5354,4704,6565,3946,8515,7282,4842,7594,3707,5681
ENSG00000008086,CDKL5,protein_coding,462,339,17,111,131,103,490,459,605,594
ENSG00000008118,CAMK1G,protein_coding,0,0,0,0,0,2,0,3,0,1
ENSG00000008128,CDK11A,protein_coding,128,147,44,78,113,109,85,115,132,6
ENSG00000008130,NADK,protein_coding,3366,4988,2277,2085,1887,2056,1722,2883,1953,5348
ENSG00000008196,TFAP2B,protein_coding,1,0,1,0,0,0,0,1,0,1
ENSG00000008197,TFAP2D,protein_coding,0,0,0,0,0,0,0,1,0,0
ENSG00000008226,DLEC1,protein_coding,81,143,114,97,289,86,142,249,111,302
ENSG00000008256,CYTH3,protein_coding,837,405,827,571,1841,727,732,586,1035,775
ENSG00000008277,ADAM22,protein_coding,380,228,138,284,2543,270,1752,399,195,394
ENSG00000008282,SYPL1,protein_coding,3721,4147,3829,3325,2634,3876,4900,2052,1495,2542
ENSG00000008283,CYB561,protein_coding,1480,538,1136,1071,238,448,1372,496,817,891
ENSG00000008294,SPAG9,protein_coding,1498,4531,1851,2449,4856,2541,3795,3447,2673,3354
ENSG00000008300,CELSR3,protein_coding,102,1805,297,106,64,1772,738,741,37,268
ENSG00000008311,AASS,protein_coding,36,5,2,14,3,23,2271,237,22,430
ENSG00000008323,PLEKHG6,protein_coding,157,147,709,77,156,429,209,147,198,259
ENSG00000008324,SS18L2,protein_coding,305,626,506,652,301,543,319,587,197,284
ENSG00000008382,MPND,protein_coding,347,133,250,164,353,307,188,233,251,338
ENSG00000008394,MGST1,protein_coding,6868,3625,7574,4881,12342,5703,2520,1468,574,3116
ENSG00000008405,CRY1,protein_coding,577,554,181,239,464,734,588,767,478,346
ENSG00000008438,PGLYRP1,protein_coding,146,17,58,5,13,96,17,153,30,817
ENSG00000008441,NFIX,protein_coding,1964,1114,3905,2164,1708,1393,2320,1803,2077,1651
ENSG00000008513,ST3GAL1,protein_coding,5201,3575,7455,1874,7646,5459,5515,5692,10667,6219
ENSG00000008516,MMP25,protein_coding,311,151,187,65,217,534,135,359,137,1917
ENSG00000008517,IL32,protein_coding,717,130,230,107,126,353,758,998,127,202
ENSG00000008710,PKD1,protein_coding,4553,3507,2690,3477,6851,5286,7814,5055,5516,6167
ENSG00000008735,MAPK8IP2,protein_coding,38,9,14,21,10,15,25,11,17,36
ENSG00000008838,MED24,protein_coding,3037,3537,2932,3202,3982,3781,4410,4109,1987,2793
ENSG00000008853,RHOBTB2,protein_coding,340,787,304,441,147,241,360,408,811,434
ENSG00000008869,HEATR5B,protein_coding,3440,5336,3199,6385,16029,6515,4956,4601,6224,3702
ENSG00000008952,SEC62,protein_coding,5834,5254,1527,2588,5794,5876,5406,8510,2012,4499
ENSG00000008988,RPS20,protein_coding,24124,18962,26359,20376,19914,24147,17344,14017,8279,16647
ENSG00000009307,CSDE1,protein_coding,16129,20972,5404,15519,22489,20718,19158,21902,12183,11354
ENSG00000009335,UBE3C,protein_coding,3647,5026,2744,2586,4091,3374,3893,2629,2753,2800
ENSG00000009413,REV3L,protein_coding,2241,3446,2347,3330,4940,3995,3910,3430,2577,2291
ENSG00000009694,TENM1,protein_coding,1080,51,162,187,43,138,543,509,288,297
ENSG00000009709,PAX7,protein_coding,3,0,0,0,0,1,1,1,0,2
ENSG00000009724,MASP2,protein_coding,477,667,235,554,606,570,747,412,562,599
ENSG00000009765,IYD,protein_coding,0,2,0,0,0,1,2,1,1,2
ENSG00000009780,FAM76A,protein_coding,317,406,353,476,731,389,348,330,437,264
ENSG00000009790,TRAF3IP3,protein_coding,3323,3355,1521,3677,2493,2291,3474,2213,1794,2204
ENSG00000009830,POMT2,protein_coding,782,786,435,834,1645,906,1125,753,837,391
ENSG00000009844,VTA1,protein_coding,1323,2373,502,1507,1940,1596,1633,2522,820,1206
ENSG00000009950,MLXIPL,protein_coding,5,41,8,8,8,3,3,6,3,8
ENSG00000009954,BAZ1B,protein_coding,4260,5641,2250,4075,4043,4555,5111,3621,3576,3182
ENSG00000010017,RANBP9,protein_coding,2361,2291,1596,2095,3735,2289,1924,2914,1292,1675
ENSG00000010030,ETV7,protein_coding,15,24,5,20,1,5,58,53,2,12
ENSG00000010072,SPRTN,protein_coding,395,544,338,329,434,442,420,630,516,317
ENSG00000010165,EEF1AKNMT,protein_coding,1858,1290,930,1322,1363,1391,1848,2690,975,1023
ENSG00000010219,DYRK4,protein_coding,437,411,319,355,271,246,367,315,93,234
ENSG00000010244,ZNF207,protein_coding,7418,16949,6805,11519,16455,11225,13286,11801,4759,10631
ENSG00000010256,UQCRC1,protein_coding,1325,6314,2580,3649,3311,2512,2340,2579,964,2048
ENSG00000010270,STARD3NL,protein_coding,1414,1485,1483,1327,2128,1527,1324,843,733,848
ENSG00000010278,CD9,protein_coding,1631,1006,3359,786,7217,140,1287,144,1309,1032
ENSG00000010282,HHATL,protein_coding,1,0,0,0,0,0,0,0,0,2
ENSG00000010292,NCAPD2,protein_coding,3970,4059,2625,3028,4326,2881,5795,7623,1357,4782
ENSG00000010295,IFFO1,protein_coding,1870,1815,1319,1639,1665,1979,2891,1115,1118,1901
ENSG00000010310,GIPR,protein_coding,68,80,163,93,16,21,52,57,34,113
ENSG00000010318,PHF7,protein_coding,290,608,508,546,691,696,552,612,201,665
ENSG00000010319,SEMA3G,protein_coding,11,99,21,22,236,20,72,62,10,26
ENSG00000010322,NISCH,protein_coding,3682,6727,2406,5828,7711,4170,6201,5516,5546,5502
ENSG00000010327,STAB1,protein_coding,17631,3662,132,21894,128884,2619,764,3713,1060,1173
ENSG00000010361,FUZ,protein_coding,365,343,538,496,552,500,535,400,415,433
ENSG00000010379,SLC6A13,protein_coding,5,17,1,5,4,5,8,13,11,3
ENSG00000010404,IDS,protein_coding,1050,588,590,1222,1073,454,1445,1179,975,702
ENSG00000010438,PRSS3,protein_coding,28,6,10,15,19,6,6,8,7,5
ENSG00000010539,ZNF200,protein_coding,296,247,207,190,434,402,337,499,227,404
ENSG00000010610,CD4,protein_coding,764,21753,2269,1255,2649,1079,2748,3093,113,976
ENSG00000010626,LRRC23,protein_coding,114,206,276,392,326,261,333,195,163,370
ENSG00000010671,BTK,protein_coding,3520,5379,2679,5618,6333,7223,3140,5701,1993,2007
ENSG00000010704,HFE,protein_coding,48,9,19,17,16,25,73,110,41,37
ENSG00000010803,SCMH1,protein_coding,3047,1449,3487,1911,3187,3182,2424,1940,2703,2817
ENSG00000010810,FYN,protein_coding,2279,827,467,1925,2537,673,3379,2996,992,1627
ENSG00000010818,HIVEP2,protein_coding,856,486,259,1919,3583,1399,2753,3168,1816,1462
ENSG00000010932,FMO1,protein_coding,7,3,8,3,3,2,2,5,2,28
ENSG00000011007,ELOA,protein_coding,1763,1415,1276,1235,1778,1852,1655,2099,1598,1008
ENSG00000011009,LYPLA2,protein_coding,1538,1420,1399,1158,1262,1248,997,1262,1029,1243
ENSG00000011021,CLCN6,protein_coding,1295,1772,1380,1700,1839,1702,2152,2410,2435,2010
ENSG00000011028,MRC2,protein_coding,671,213,186,224,6213,83,2104,630,2328,1990
ENSG00000011052,NME1-NME2,protein_coding,0,0,0,0,0,0,0,0,0,0
ENSG00000011083,SLC6A7,protein_coding,0,0,0,1,0,0,0,0,1,0
ENSG00000011105,TSPAN9,protein_coding,283,2,525,17,6,34,100,145,634,67
ENSG00000011114,BTBD7,protein_coding,1463,2659,1212,2143,2801,2536,2228,2775,2304,2228
ENSG00000011132,APBA3,protein_coding,676,688,518,496,408,552,588,580,655,546
ENSG00000011143,MKS1,protein_coding,733,495,439,696,729,759,833,758,215,441
ENSG00000011198,ABHD5,protein_coding,705,1301,252,517,1012,662,1033,3548,481,3090
ENSG00000011201,ANOS1,protein_coding,3,1946,2,1,0,3,298,7,2,1
ENSG00000011243,AKAP8L,protein_coding,2554,1916,1316,1478,1797,1755,2292,1830,1602,1770
ENSG00000011258,MBTD1,protein_coding,1553,1435,2287,2106,2784,3793,3413,3027,2185,2748
ENSG00000011260,UTP18,protein_coding,987,1131,519,977,1372,1586,1195,1531,727,853
ENSG00000011275,RNF216,protein_coding,3481,3348,2388,2784,4178,3158,3590,2462,3000,3695
ENSG00000011295,TTC19,protein_coding,1582,2608,1693,2417,3404,2669,3636,1838,1633,2377
ENSG00000011304,PTBP1,protein_coding,11219,15423,12136,9788,11263,10091,13773,11256,7002,7127
ENSG00000011332,DPF1,protein_coding,66,42,70,51,311,71,127,149,203,50
ENSG00000011347,SYT7,protein_coding,1,3,2,0,4,4,2,7,5,4
ENSG00000011376,LARS2,protein_coding,598,1398,969,1104,1344,1176,1772,1703,979,911
ENSG00000011405,PIK3C2A,protein_coding,2169,2698,1272,2472,2398,2029,3163,3022,3015,2343
ENSG00000011422,PLAUR,protein_coding,1398,2915,352,701,2169,563,189,1156,660,1108
ENSG00000011426,ANLN,protein_coding,1108,1991,599,411,1231,874,1218,1518,166,1705
ENSG00000011451,WIZ,protein_coding,3232,2991,2387,1768,2818,2260,2894,3116,3805,2391
ENSG00000011454,RABGAP1,protein_coding,1789,3676,756,2344,1566,1428,6022,2181,1210,1272
ENSG00000011465,DCN,protein_coding,229,12,8,0,1,58,227,1333,1,259
ENSG00000011478,QPCTL,protein_coding,692,717,353,361,741,416,344,498,283,424
ENSG00000011485,PPP5C,protein_coding,2123,2976,2030,2372,1694,1932,1770,1859,1869,1235
ENSG00000011523,CEP68,protein_coding,3350,1072,2749,1746,1796,1479,3382,2369,1904,1951
ENSG00000011566,MAP4K3,protein_coding,606,866,576,973,818,551,1266,1005,841,844
ENSG00000011590,ZBTB32,protein_coding,147,105,63,41,26,224,102,154,131,331
ENSG00000011600,TYROBP,protein_coding,4407,10062,2580,5215,3229,1106,442,825,539,1974
